MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Ireland (IE),Generation - Solar  [MW] Intraday / Ireland (IE),Generation - Solar  [MW] Current / Ireland (IE),Generation - Wind Offshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Offshore  [MW] Intraday / Ireland (IE),Generation - Wind Offshore  [MW] Current / Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE),Generation - Wind Onshore  [MW] Day Ahead/ Ireland (IE)
09.01.2022 00:00 - 09.01.2022 01:00,n/e,n/e,n/e,N/A,n/e,n/e,3434,3434,3434
09.01.2022 01:00 - 09.01.2022 02:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 02:00 - 09.01.2022 03:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 03:00 - 09.01.2022 04:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 04:00 - 09.01.2022 05:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 05:00 - 09.01.2022 06:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 06:00 - 09.01.2022 07:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 07:00 - 09.01.2022 08:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 08:00 - 09.01.2022 09:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 09:00 - 09.01.2022 10:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 10:00 - 09.01.2022 11:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 11:00 - 09.01.2022 12:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 12:00 - 09.01.2022 13:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 13:00 - 09.01.2022 14:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 14:00 - 09.01.2022 15:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 15:00 - 09.01.2022 16:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 16:00 - 09.01.2022 17:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 17:00 - 09.01.2022 18:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 18:00 - 09.01.2022 19:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 19:00 - 09.01.2022 20:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 20:00 - 09.01.2022 21:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 21:00 - 09.01.2022 22:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 22:00 - 09.01.2022 23:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
09.01.2022 23:00 - 10.01.2022 00:00,n/e,n/e,n/e,N/A,n/e,n/e,N/A,N/A,N/A
