"Production Type","2022 [MW]"
"Biomass","95"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1527"
"Fossil Hard coal","n/e"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","900"
"Hydro Run-of-river and poundage","128"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","37"
"Other renewable","0"
"Solar","259"
"Waste","70"
"Wind Offshore","n/e"
"Wind Onshore","671"
"Total Grand capacity","3687"
