"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"18.11.2022 15:00 - 18.11.2022 15:30","N/A","N/A"
"18.11.2022 15:30 - 18.11.2022 16:00","N/A","N/A"
"18.11.2022 16:00 - 18.11.2022 16:30","N/A","N/A"
"18.11.2022 16:30 - 18.11.2022 17:00","N/A","N/A"
"18.11.2022 17:00 - 18.11.2022 17:30","N/A","N/A"
"18.11.2022 17:30 - 18.11.2022 18:00","N/A","N/A"
"18.11.2022 18:00 - 18.11.2022 18:30","N/A","N/A"
"18.11.2022 18:30 - 18.11.2022 19:00","N/A","N/A"
"18.11.2022 19:00 - 18.11.2022 19:30","N/A","N/A"
"18.11.2022 19:30 - 18.11.2022 20:00","N/A","N/A"
"18.11.2022 20:00 - 18.11.2022 20:30","N/A","N/A"
"18.11.2022 20:30 - 18.11.2022 21:00","N/A","N/A"
"18.11.2022 21:00 - 18.11.2022 21:30","N/A","N/A"
"18.11.2022 21:30 - 18.11.2022 22:00","N/A","N/A"
"18.11.2022 22:00 - 18.11.2022 22:30","N/A","N/A"
"18.11.2022 22:30 - 18.11.2022 23:00","N/A","N/A"
"18.11.2022 23:00 - 18.11.2022 23:30","N/A","N/A"
"18.11.2022 23:30 - 19.11.2022 00:00","N/A","N/A"
"19.11.2022 00:00 - 19.11.2022 00:30","N/A","N/A"
"19.11.2022 00:30 - 19.11.2022 01:00","N/A","N/A"
"19.11.2022 01:00 - 19.11.2022 01:30","N/A","N/A"
"19.11.2022 01:30 - 19.11.2022 02:00","N/A","N/A"
"19.11.2022 02:00 - 19.11.2022 02:30","N/A","N/A"
"19.11.2022 02:30 - 19.11.2022 03:00","N/A","N/A"
"19.11.2022 03:00 - 19.11.2022 03:30","N/A","N/A"
"19.11.2022 03:30 - 19.11.2022 04:00","N/A","N/A"
"19.11.2022 04:00 - 19.11.2022 04:30","N/A","N/A"
"19.11.2022 04:30 - 19.11.2022 05:00","N/A","N/A"
"19.11.2022 05:00 - 19.11.2022 05:30","N/A","N/A"
"19.11.2022 05:30 - 19.11.2022 06:00","N/A","N/A"
"19.11.2022 06:00 - 19.11.2022 06:30","N/A","N/A"
"19.11.2022 06:30 - 19.11.2022 07:00","N/A","N/A"
"19.11.2022 07:00 - 19.11.2022 07:30","N/A","N/A"
"19.11.2022 07:30 - 19.11.2022 08:00","N/A","N/A"
"19.11.2022 08:00 - 19.11.2022 08:30","N/A","N/A"
"19.11.2022 08:30 - 19.11.2022 09:00","N/A","N/A"
"19.11.2022 09:00 - 19.11.2022 09:30","N/A","N/A"
"19.11.2022 09:30 - 19.11.2022 10:00","N/A","N/A"
"19.11.2022 10:00 - 19.11.2022 10:30","N/A","N/A"
"19.11.2022 10:30 - 19.11.2022 11:00","N/A","N/A"
"19.11.2022 11:00 - 19.11.2022 11:30","N/A","N/A"
"19.11.2022 11:30 - 19.11.2022 12:00","N/A","N/A"
"19.11.2022 12:00 - 19.11.2022 12:30","N/A","N/A"
"19.11.2022 12:30 - 19.11.2022 13:00","N/A","N/A"
"19.11.2022 13:00 - 19.11.2022 13:30","N/A","N/A"
"19.11.2022 13:30 - 19.11.2022 14:00","N/A","N/A"
"19.11.2022 14:00 - 19.11.2022 14:30","N/A","N/A"
"19.11.2022 14:30 - 19.11.2022 15:00","N/A","N/A"
"19.11.2022 15:00 - 19.11.2022 15:30","N/A","N/A"
"19.11.2022 15:30 - 19.11.2022 16:00","N/A","N/A"
"19.11.2022 16:00 - 19.11.2022 16:30","N/A","N/A"
"19.11.2022 16:30 - 19.11.2022 17:00","N/A","N/A"
"19.11.2022 17:00 - 19.11.2022 17:30","N/A","N/A"
"19.11.2022 17:30 - 19.11.2022 18:00","N/A","N/A"
"19.11.2022 18:00 - 19.11.2022 18:30","N/A","N/A"
"19.11.2022 18:30 - 19.11.2022 19:00","N/A","N/A"
"19.11.2022 19:00 - 19.11.2022 19:30","N/A","N/A"
"19.11.2022 19:30 - 19.11.2022 20:00","N/A","N/A"
"19.11.2022 20:00 - 19.11.2022 20:30","N/A","N/A"
"19.11.2022 20:30 - 19.11.2022 21:00","N/A","N/A"
"19.11.2022 21:00 - 19.11.2022 21:30","N/A","N/A"
"19.11.2022 21:30 - 19.11.2022 22:00","N/A","N/A"
"19.11.2022 22:00 - 19.11.2022 22:30","N/A","N/A"
"19.11.2022 22:30 - 19.11.2022 23:00","N/A","N/A"
"19.11.2022 23:00 - 19.11.2022 23:30","N/A","N/A"
"19.11.2022 23:30 - 20.11.2022 00:00","N/A","N/A"
"20.11.2022 00:00 - 20.11.2022 00:30","N/A","N/A"
"20.11.2022 00:30 - 20.11.2022 01:00","N/A","N/A"
"20.11.2022 01:00 - 20.11.2022 01:30","N/A","N/A"
"20.11.2022 01:30 - 20.11.2022 02:00","N/A","N/A"
"20.11.2022 02:00 - 20.11.2022 02:30","N/A","N/A"
"20.11.2022 02:30 - 20.11.2022 03:00","N/A","N/A"
"20.11.2022 03:00 - 20.11.2022 03:30","N/A","N/A"
"20.11.2022 03:30 - 20.11.2022 04:00","N/A","N/A"
"20.11.2022 04:00 - 20.11.2022 04:30","N/A","N/A"
"20.11.2022 04:30 - 20.11.2022 05:00","N/A","N/A"
"20.11.2022 05:00 - 20.11.2022 05:30","N/A","N/A"
"20.11.2022 05:30 - 20.11.2022 06:00","N/A","N/A"
"20.11.2022 06:00 - 20.11.2022 06:30","N/A","N/A"
"20.11.2022 06:30 - 20.11.2022 07:00","N/A","N/A"
"20.11.2022 07:00 - 20.11.2022 07:30","N/A","N/A"
"20.11.2022 07:30 - 20.11.2022 08:00","N/A","N/A"
"20.11.2022 08:00 - 20.11.2022 08:30","N/A","N/A"
"20.11.2022 08:30 - 20.11.2022 09:00","N/A","N/A"
"20.11.2022 09:00 - 20.11.2022 09:30","N/A","N/A"
"20.11.2022 09:30 - 20.11.2022 10:00","N/A","N/A"
"20.11.2022 10:00 - 20.11.2022 10:30","N/A","N/A"
"20.11.2022 10:30 - 20.11.2022 11:00","N/A","N/A"
"20.11.2022 11:00 - 20.11.2022 11:30","N/A","N/A"
"20.11.2022 11:30 - 20.11.2022 12:00","N/A","N/A"
"20.11.2022 12:00 - 20.11.2022 12:30","N/A","N/A"
"20.11.2022 12:30 - 20.11.2022 13:00","N/A","N/A"
"20.11.2022 13:00 - 20.11.2022 13:30","N/A","N/A"
"20.11.2022 13:30 - 20.11.2022 14:00","N/A","N/A"
"20.11.2022 14:00 - 20.11.2022 14:30","N/A","N/A"
"20.11.2022 14:30 - 20.11.2022 15:00","N/A","N/A"
"20.11.2022 15:00 - 20.11.2022 15:30","N/A","N/A"
"20.11.2022 15:30 - 20.11.2022 16:00","N/A","N/A"
"20.11.2022 16:00 - 20.11.2022 16:30","N/A","N/A"
"20.11.2022 16:30 - 20.11.2022 17:00","N/A","N/A"
"20.11.2022 17:00 - 20.11.2022 17:30","N/A","N/A"
"20.11.2022 17:30 - 20.11.2022 18:00","N/A","N/A"
"20.11.2022 18:00 - 20.11.2022 18:30","N/A","N/A"
"20.11.2022 18:30 - 20.11.2022 19:00","N/A","N/A"
"20.11.2022 19:00 - 20.11.2022 19:30","N/A","N/A"
"20.11.2022 19:30 - 20.11.2022 20:00","N/A","N/A"
"20.11.2022 20:00 - 20.11.2022 20:30","N/A","N/A"
"20.11.2022 20:30 - 20.11.2022 21:00","N/A","N/A"
"20.11.2022 21:00 - 20.11.2022 21:30","N/A","N/A"
"20.11.2022 21:30 - 20.11.2022 22:00","N/A","N/A"
"20.11.2022 22:00 - 20.11.2022 22:30","N/A","N/A"
"20.11.2022 22:30 - 20.11.2022 23:00","N/A","N/A"
"20.11.2022 23:00 - 20.11.2022 23:30","N/A","N/A"
"20.11.2022 23:30 - 21.11.2022 00:00","N/A","N/A"
"21.11.2022 00:00 - 21.11.2022 00:30","N/A","N/A"
"21.11.2022 00:30 - 21.11.2022 01:00","N/A","N/A"
"21.11.2022 01:00 - 21.11.2022 01:30","N/A","N/A"
"21.11.2022 01:30 - 21.11.2022 02:00","N/A","N/A"
"21.11.2022 02:00 - 21.11.2022 02:30","N/A","N/A"
"21.11.2022 02:30 - 21.11.2022 03:00","N/A","N/A"
"21.11.2022 03:00 - 21.11.2022 03:30","N/A","N/A"
"21.11.2022 03:30 - 21.11.2022 04:00","N/A","N/A"
"21.11.2022 04:00 - 21.11.2022 04:30","N/A","N/A"
"21.11.2022 04:30 - 21.11.2022 05:00","N/A","N/A"
"21.11.2022 05:00 - 21.11.2022 05:30","N/A","N/A"
"21.11.2022 05:30 - 21.11.2022 06:00","N/A","N/A"
"21.11.2022 06:00 - 21.11.2022 06:30","N/A","N/A"
"21.11.2022 06:30 - 21.11.2022 07:00","N/A","N/A"
"21.11.2022 07:00 - 21.11.2022 07:30","N/A","N/A"
"21.11.2022 07:30 - 21.11.2022 08:00","N/A","N/A"
"21.11.2022 08:00 - 21.11.2022 08:30","N/A","N/A"
"21.11.2022 08:30 - 21.11.2022 09:00","N/A","N/A"
"21.11.2022 09:00 - 21.11.2022 09:30","N/A","N/A"
"21.11.2022 09:30 - 21.11.2022 10:00","N/A","N/A"
"21.11.2022 10:00 - 21.11.2022 10:30","N/A","N/A"
"21.11.2022 10:30 - 21.11.2022 11:00","N/A","N/A"
"21.11.2022 11:00 - 21.11.2022 11:30","N/A","N/A"
"21.11.2022 11:30 - 21.11.2022 12:00","N/A","N/A"
"21.11.2022 12:00 - 21.11.2022 12:30","N/A","N/A"
"21.11.2022 12:30 - 21.11.2022 13:00","N/A","N/A"
"21.11.2022 13:00 - 21.11.2022 13:30","N/A","N/A"
"21.11.2022 13:30 - 21.11.2022 14:00","N/A","N/A"
"21.11.2022 14:00 - 21.11.2022 14:30","N/A","N/A"
"21.11.2022 14:30 - 21.11.2022 15:00","N/A","N/A"
"21.11.2022 15:00 - 21.11.2022 15:30","N/A","N/A"
"21.11.2022 15:30 - 21.11.2022 16:00","N/A","N/A"
"21.11.2022 16:00 - 21.11.2022 16:30","N/A","N/A"
"21.11.2022 16:30 - 21.11.2022 17:00","N/A","N/A"
"21.11.2022 17:00 - 21.11.2022 17:30","N/A","N/A"
"21.11.2022 17:30 - 21.11.2022 18:00","N/A","N/A"
"21.11.2022 18:00 - 21.11.2022 18:30","N/A","N/A"
"21.11.2022 18:30 - 21.11.2022 19:00","N/A","N/A"
"21.11.2022 19:00 - 21.11.2022 19:30","N/A","N/A"
"21.11.2022 19:30 - 21.11.2022 20:00","N/A","N/A"
"21.11.2022 20:00 - 21.11.2022 20:30","N/A","N/A"
"21.11.2022 20:30 - 21.11.2022 21:00","N/A","N/A"
"21.11.2022 21:00 - 21.11.2022 21:30","N/A","N/A"
"21.11.2022 21:30 - 21.11.2022 22:00","N/A","N/A"
"21.11.2022 22:00 - 21.11.2022 22:30","N/A","N/A"
"21.11.2022 22:30 - 21.11.2022 23:00","N/A","N/A"
"21.11.2022 23:00 - 21.11.2022 23:30","N/A","N/A"
"21.11.2022 23:30 - 22.11.2022 00:00","N/A","N/A"
"22.11.2022 00:00 - 22.11.2022 00:30","N/A","N/A"
"22.11.2022 00:30 - 22.11.2022 01:00","N/A","N/A"
"22.11.2022 01:00 - 22.11.2022 01:30","N/A","N/A"
"22.11.2022 01:30 - 22.11.2022 02:00","N/A","N/A"
"22.11.2022 02:00 - 22.11.2022 02:30","N/A","N/A"
"22.11.2022 02:30 - 22.11.2022 03:00","N/A","N/A"
"22.11.2022 03:00 - 22.11.2022 03:30","N/A","N/A"
"22.11.2022 03:30 - 22.11.2022 04:00","N/A","N/A"
"22.11.2022 04:00 - 22.11.2022 04:30","N/A","N/A"
"22.11.2022 04:30 - 22.11.2022 05:00","N/A","N/A"
"22.11.2022 05:00 - 22.11.2022 05:30","N/A","N/A"
"22.11.2022 05:30 - 22.11.2022 06:00","N/A","N/A"
"22.11.2022 06:00 - 22.11.2022 06:30","N/A","N/A"
"22.11.2022 06:30 - 22.11.2022 07:00","N/A","N/A"
"22.11.2022 07:00 - 22.11.2022 07:30","N/A","N/A"
"22.11.2022 07:30 - 22.11.2022 08:00","N/A","N/A"
"22.11.2022 08:00 - 22.11.2022 08:30","N/A","N/A"
"22.11.2022 08:30 - 22.11.2022 09:00","N/A","N/A"
"22.11.2022 09:00 - 22.11.2022 09:30","N/A","N/A"
"22.11.2022 09:30 - 22.11.2022 10:00","N/A","N/A"
"22.11.2022 10:00 - 22.11.2022 10:30","N/A","N/A"
"22.11.2022 10:30 - 22.11.2022 11:00","N/A","N/A"
"22.11.2022 11:00 - 22.11.2022 11:30","N/A","N/A"
"22.11.2022 11:30 - 22.11.2022 12:00","N/A","N/A"
"22.11.2022 12:00 - 22.11.2022 12:30","N/A","N/A"
"22.11.2022 12:30 - 22.11.2022 13:00","N/A","N/A"
"22.11.2022 13:00 - 22.11.2022 13:30","N/A","N/A"
"22.11.2022 13:30 - 22.11.2022 14:00","N/A","N/A"
"22.11.2022 14:00 - 22.11.2022 14:30","N/A","N/A"
"22.11.2022 14:30 - 22.11.2022 15:00","N/A","N/A"
"22.11.2022 15:00 - 22.11.2022 15:30","N/A","N/A"
"22.11.2022 15:30 - 22.11.2022 16:00","N/A","N/A"
"22.11.2022 16:00 - 22.11.2022 16:30","N/A","N/A"
"22.11.2022 16:30 - 22.11.2022 17:00","N/A","N/A"
"22.11.2022 17:00 - 22.11.2022 17:30","N/A","N/A"
"22.11.2022 17:30 - 22.11.2022 18:00","N/A","N/A"
"22.11.2022 18:00 - 22.11.2022 18:30","N/A","N/A"
"22.11.2022 18:30 - 22.11.2022 19:00","N/A","N/A"
"22.11.2022 19:00 - 22.11.2022 19:30","N/A","N/A"
"22.11.2022 19:30 - 22.11.2022 20:00","N/A","N/A"
"22.11.2022 20:00 - 22.11.2022 20:30","N/A","N/A"
"22.11.2022 20:30 - 22.11.2022 21:00","N/A","N/A"
"22.11.2022 21:00 - 22.11.2022 21:30","N/A","N/A"
"22.11.2022 21:30 - 22.11.2022 22:00","N/A","N/A"
"22.11.2022 22:00 - 22.11.2022 22:30","N/A","N/A"
"22.11.2022 22:30 - 22.11.2022 23:00","N/A","N/A"
"22.11.2022 23:00 - 22.11.2022 23:30","N/A","N/A"
"22.11.2022 23:30 - 23.11.2022 00:00","N/A","N/A"
"23.11.2022 00:00 - 23.11.2022 00:30","N/A","N/A"
"23.11.2022 00:30 - 23.11.2022 01:00","N/A","N/A"
"23.11.2022 01:00 - 23.11.2022 01:30","N/A","N/A"
"23.11.2022 01:30 - 23.11.2022 02:00","N/A","N/A"
"23.11.2022 02:00 - 23.11.2022 02:30","N/A","N/A"
"23.11.2022 02:30 - 23.11.2022 03:00","N/A","N/A"
"23.11.2022 03:00 - 23.11.2022 03:30","N/A","N/A"
"23.11.2022 03:30 - 23.11.2022 04:00","N/A","N/A"
"23.11.2022 04:00 - 23.11.2022 04:30","N/A","N/A"
"23.11.2022 04:30 - 23.11.2022 05:00","N/A","N/A"
"23.11.2022 05:00 - 23.11.2022 05:30","N/A","N/A"
"23.11.2022 05:30 - 23.11.2022 06:00","N/A","N/A"
"23.11.2022 06:00 - 23.11.2022 06:30","N/A","N/A"
"23.11.2022 06:30 - 23.11.2022 07:00","N/A","N/A"
"23.11.2022 07:00 - 23.11.2022 07:30","N/A","N/A"
"23.11.2022 07:30 - 23.11.2022 08:00","N/A","N/A"
"23.11.2022 08:00 - 23.11.2022 08:30","N/A","N/A"
"23.11.2022 08:30 - 23.11.2022 09:00","N/A","N/A"
"23.11.2022 09:00 - 23.11.2022 09:30","N/A","N/A"
"23.11.2022 09:30 - 23.11.2022 10:00","N/A","N/A"
"23.11.2022 10:00 - 23.11.2022 10:30","N/A","N/A"
"23.11.2022 10:30 - 23.11.2022 11:00","N/A","N/A"
"23.11.2022 11:00 - 23.11.2022 11:30","N/A","N/A"
"23.11.2022 11:30 - 23.11.2022 12:00","N/A","N/A"
"23.11.2022 12:00 - 23.11.2022 12:30","N/A","N/A"
"23.11.2022 12:30 - 23.11.2022 13:00","N/A","N/A"
"23.11.2022 13:00 - 23.11.2022 13:30","N/A","N/A"
"23.11.2022 13:30 - 23.11.2022 14:00","N/A","N/A"
"23.11.2022 14:00 - 23.11.2022 14:30","N/A","N/A"
"23.11.2022 14:30 - 23.11.2022 15:00","N/A","N/A"
"23.11.2022 15:00 - 23.11.2022 15:30","N/A","N/A"
"23.11.2022 15:30 - 23.11.2022 16:00","N/A","N/A"
"23.11.2022 16:00 - 23.11.2022 16:30","N/A","N/A"
"23.11.2022 16:30 - 23.11.2022 17:00","N/A","N/A"
"23.11.2022 17:00 - 23.11.2022 17:30","N/A","N/A"
"23.11.2022 17:30 - 23.11.2022 18:00","N/A","N/A"
"23.11.2022 18:00 - 23.11.2022 18:30","N/A","N/A"
"23.11.2022 18:30 - 23.11.2022 19:00","N/A","N/A"
"23.11.2022 19:00 - 23.11.2022 19:30","N/A","N/A"
"23.11.2022 19:30 - 23.11.2022 20:00","N/A","N/A"
"23.11.2022 20:00 - 23.11.2022 20:30","N/A","N/A"
"23.11.2022 20:30 - 23.11.2022 21:00","N/A","N/A"
"23.11.2022 21:00 - 23.11.2022 21:30","N/A","N/A"
"23.11.2022 21:30 - 23.11.2022 22:00","N/A","N/A"
"23.11.2022 22:00 - 23.11.2022 22:30","N/A","N/A"
"23.11.2022 22:30 - 23.11.2022 23:00","N/A","N/A"
"23.11.2022 23:00 - 23.11.2022 23:30","N/A","N/A"
"23.11.2022 23:30 - 24.11.2022 00:00","N/A","N/A"
"24.11.2022 00:00 - 24.11.2022 00:30","N/A","N/A"
"24.11.2022 00:30 - 24.11.2022 01:00","N/A","N/A"
"24.11.2022 01:00 - 24.11.2022 01:30","N/A","N/A"
"24.11.2022 01:30 - 24.11.2022 02:00","N/A","N/A"
"24.11.2022 02:00 - 24.11.2022 02:30","N/A","N/A"
"24.11.2022 02:30 - 24.11.2022 03:00","N/A","N/A"
"24.11.2022 03:00 - 24.11.2022 03:30","N/A","N/A"
"24.11.2022 03:30 - 24.11.2022 04:00","N/A","N/A"
"24.11.2022 04:00 - 24.11.2022 04:30","N/A","N/A"
"24.11.2022 04:30 - 24.11.2022 05:00","N/A","N/A"
"24.11.2022 05:00 - 24.11.2022 05:30","N/A","N/A"
"24.11.2022 05:30 - 24.11.2022 06:00","N/A","N/A"
"24.11.2022 06:00 - 24.11.2022 06:30","N/A","N/A"
"24.11.2022 06:30 - 24.11.2022 07:00","N/A","N/A"
"24.11.2022 07:00 - 24.11.2022 07:30","N/A","N/A"
"24.11.2022 07:30 - 24.11.2022 08:00","N/A","N/A"
"24.11.2022 08:00 - 24.11.2022 08:30","N/A","N/A"
"24.11.2022 08:30 - 24.11.2022 09:00","N/A","N/A"
"24.11.2022 09:00 - 24.11.2022 09:30","N/A","N/A"
"24.11.2022 09:30 - 24.11.2022 10:00","N/A","N/A"
"24.11.2022 10:00 - 24.11.2022 10:30","N/A","N/A"
"24.11.2022 10:30 - 24.11.2022 11:00","N/A","N/A"
"24.11.2022 11:00 - 24.11.2022 11:30","N/A","N/A"
"24.11.2022 11:30 - 24.11.2022 12:00","N/A","N/A"
"24.11.2022 12:00 - 24.11.2022 12:30","N/A","N/A"
"24.11.2022 12:30 - 24.11.2022 13:00","N/A","N/A"
"24.11.2022 13:00 - 24.11.2022 13:30","N/A","N/A"
"24.11.2022 13:30 - 24.11.2022 14:00","N/A","N/A"
"24.11.2022 14:00 - 24.11.2022 14:30","N/A","N/A"
"24.11.2022 14:30 - 24.11.2022 15:00","N/A","N/A"
"24.11.2022 15:00 - 24.11.2022 15:30","N/A","N/A"
"24.11.2022 15:30 - 24.11.2022 16:00","N/A","N/A"
"24.11.2022 16:00 - 24.11.2022 16:30","N/A","N/A"
"24.11.2022 16:30 - 24.11.2022 17:00","N/A","N/A"
"24.11.2022 17:00 - 24.11.2022 17:30","N/A","N/A"
"24.11.2022 17:30 - 24.11.2022 18:00","N/A","N/A"
"24.11.2022 18:00 - 24.11.2022 18:30","N/A","N/A"
"24.11.2022 18:30 - 24.11.2022 19:00","N/A","N/A"
"24.11.2022 19:00 - 24.11.2022 19:30","N/A","N/A"
"24.11.2022 19:30 - 24.11.2022 20:00","N/A","N/A"
"24.11.2022 20:00 - 24.11.2022 20:30","N/A","N/A"
"24.11.2022 20:30 - 24.11.2022 21:00","N/A","N/A"
"24.11.2022 21:00 - 24.11.2022 21:30","N/A","N/A"
"24.11.2022 21:30 - 24.11.2022 22:00","N/A","N/A"
"24.11.2022 22:00 - 24.11.2022 22:30","N/A","N/A"
"24.11.2022 22:30 - 24.11.2022 23:00","N/A","N/A"
"24.11.2022 23:00 - 24.11.2022 23:30","N/A","N/A"
"24.11.2022 23:30 - 25.11.2022 00:00","N/A","N/A"
"25.11.2022 00:00 - 25.11.2022 00:30","N/A","N/A"
"25.11.2022 00:30 - 25.11.2022 01:00","N/A","N/A"
"25.11.2022 01:00 - 25.11.2022 01:30","N/A","N/A"
"25.11.2022 01:30 - 25.11.2022 02:00","N/A","N/A"
"25.11.2022 02:00 - 25.11.2022 02:30","N/A","N/A"
"25.11.2022 02:30 - 25.11.2022 03:00","N/A","N/A"
"25.11.2022 03:00 - 25.11.2022 03:30","N/A","N/A"
"25.11.2022 03:30 - 25.11.2022 04:00","N/A","N/A"
"25.11.2022 04:00 - 25.11.2022 04:30","N/A","N/A"
"25.11.2022 04:30 - 25.11.2022 05:00","N/A","N/A"
"25.11.2022 05:00 - 25.11.2022 05:30","N/A","N/A"
"25.11.2022 05:30 - 25.11.2022 06:00","N/A","N/A"
"25.11.2022 06:00 - 25.11.2022 06:30","N/A","N/A"
"25.11.2022 06:30 - 25.11.2022 07:00","N/A","N/A"
"25.11.2022 07:00 - 25.11.2022 07:30","N/A","N/A"
"25.11.2022 07:30 - 25.11.2022 08:00","N/A","N/A"
"25.11.2022 08:00 - 25.11.2022 08:30","N/A","N/A"
"25.11.2022 08:30 - 25.11.2022 09:00","N/A","N/A"
"25.11.2022 09:00 - 25.11.2022 09:30","N/A","N/A"
"25.11.2022 09:30 - 25.11.2022 10:00","N/A","N/A"
"25.11.2022 10:00 - 25.11.2022 10:30","N/A","N/A"
"25.11.2022 10:30 - 25.11.2022 11:00","N/A","N/A"
"25.11.2022 11:00 - 25.11.2022 11:30","N/A","N/A"
"25.11.2022 11:30 - 25.11.2022 12:00","N/A","N/A"
"25.11.2022 12:00 - 25.11.2022 12:30","N/A","N/A"
"25.11.2022 12:30 - 25.11.2022 13:00","N/A","N/A"
"25.11.2022 13:00 - 25.11.2022 13:30","N/A","N/A"
"25.11.2022 13:30 - 25.11.2022 14:00","N/A","N/A"
"25.11.2022 14:00 - 25.11.2022 14:30","N/A","N/A"
"25.11.2022 14:30 - 25.11.2022 15:00","N/A","N/A"
"25.11.2022 15:00 - 25.11.2022 15:30","N/A","N/A"
"25.11.2022 15:30 - 25.11.2022 16:00","N/A","N/A"
"25.11.2022 16:00 - 25.11.2022 16:30","N/A","N/A"
"25.11.2022 16:30 - 25.11.2022 17:00","N/A","N/A"
"25.11.2022 17:00 - 25.11.2022 17:30","N/A","N/A"
"25.11.2022 17:30 - 25.11.2022 18:00","N/A","N/A"
"25.11.2022 18:00 - 25.11.2022 18:30","N/A","N/A"
"25.11.2022 18:30 - 25.11.2022 19:00","N/A","N/A"
"25.11.2022 19:00 - 25.11.2022 19:30","N/A","N/A"
"25.11.2022 19:30 - 25.11.2022 20:00","N/A","N/A"
"25.11.2022 20:00 - 25.11.2022 20:30","N/A","N/A"
"25.11.2022 20:30 - 25.11.2022 21:00","N/A","N/A"
"25.11.2022 21:00 - 25.11.2022 21:30","N/A","N/A"
"25.11.2022 21:30 - 25.11.2022 22:00","N/A","N/A"
"25.11.2022 22:00 - 25.11.2022 22:30","N/A","N/A"
"25.11.2022 22:30 - 25.11.2022 23:00","N/A","N/A"
"25.11.2022 23:00 - 25.11.2022 23:30","N/A","N/A"
"25.11.2022 23:30 - 26.11.2022 00:00","N/A","N/A"
"26.11.2022 00:00 - 26.11.2022 00:30","N/A","N/A"
"26.11.2022 00:30 - 26.11.2022 01:00","N/A","N/A"
"26.11.2022 01:00 - 26.11.2022 01:30","N/A","N/A"
"26.11.2022 01:30 - 26.11.2022 02:00","N/A","N/A"
"26.11.2022 02:00 - 26.11.2022 02:30","N/A","N/A"
"26.11.2022 02:30 - 26.11.2022 03:00","N/A","N/A"
"26.11.2022 03:00 - 26.11.2022 03:30","N/A","N/A"
"26.11.2022 03:30 - 26.11.2022 04:00","N/A","N/A"
"26.11.2022 04:00 - 26.11.2022 04:30","N/A","N/A"
"26.11.2022 04:30 - 26.11.2022 05:00","N/A","N/A"
"26.11.2022 05:00 - 26.11.2022 05:30","N/A","N/A"
"26.11.2022 05:30 - 26.11.2022 06:00","N/A","N/A"
"26.11.2022 06:00 - 26.11.2022 06:30","N/A","N/A"
"26.11.2022 06:30 - 26.11.2022 07:00","N/A","N/A"
"26.11.2022 07:00 - 26.11.2022 07:30","N/A","N/A"
"26.11.2022 07:30 - 26.11.2022 08:00","N/A","N/A"
"26.11.2022 08:00 - 26.11.2022 08:30","N/A","N/A"
"26.11.2022 08:30 - 26.11.2022 09:00","N/A","N/A"
"26.11.2022 09:00 - 26.11.2022 09:30","N/A","N/A"
"26.11.2022 09:30 - 26.11.2022 10:00","N/A","N/A"
"26.11.2022 10:00 - 26.11.2022 10:30","N/A","N/A"
"26.11.2022 10:30 - 26.11.2022 11:00","N/A","N/A"
"26.11.2022 11:00 - 26.11.2022 11:30","N/A","N/A"
"26.11.2022 11:30 - 26.11.2022 12:00","N/A","N/A"
"26.11.2022 12:00 - 26.11.2022 12:30","N/A","N/A"
"26.11.2022 12:30 - 26.11.2022 13:00","N/A","N/A"
"26.11.2022 13:00 - 26.11.2022 13:30","N/A","N/A"
"26.11.2022 13:30 - 26.11.2022 14:00","N/A","N/A"
"26.11.2022 14:00 - 26.11.2022 14:30","N/A","N/A"
"26.11.2022 14:30 - 26.11.2022 15:00","N/A","N/A"
"26.11.2022 15:00 - 26.11.2022 15:30","N/A","N/A"
"26.11.2022 15:30 - 26.11.2022 16:00","N/A","N/A"
"26.11.2022 16:00 - 26.11.2022 16:30","N/A","N/A"
"26.11.2022 16:30 - 26.11.2022 17:00","N/A","N/A"
"26.11.2022 17:00 - 26.11.2022 17:30","N/A","N/A"
"26.11.2022 17:30 - 26.11.2022 18:00","N/A","N/A"
"26.11.2022 18:00 - 26.11.2022 18:30","N/A","N/A"
"26.11.2022 18:30 - 26.11.2022 19:00","N/A","N/A"
"26.11.2022 19:00 - 26.11.2022 19:30","N/A","N/A"
"26.11.2022 19:30 - 26.11.2022 20:00","N/A","N/A"
"26.11.2022 20:00 - 26.11.2022 20:30","N/A","N/A"
"26.11.2022 20:30 - 26.11.2022 21:00","N/A","N/A"
"26.11.2022 21:00 - 26.11.2022 21:30","N/A","N/A"
"26.11.2022 21:30 - 26.11.2022 22:00","N/A","N/A"
"26.11.2022 22:00 - 26.11.2022 22:30","N/A","N/A"
"26.11.2022 22:30 - 26.11.2022 23:00","N/A","N/A"
"26.11.2022 23:00 - 26.11.2022 23:30","N/A","N/A"
"26.11.2022 23:30 - 27.11.2022 00:00","N/A","N/A"
"27.11.2022 00:00 - 27.11.2022 00:30","N/A","N/A"
"27.11.2022 00:30 - 27.11.2022 01:00","N/A","N/A"
"27.11.2022 01:00 - 27.11.2022 01:30","N/A","N/A"
"27.11.2022 01:30 - 27.11.2022 02:00","N/A","N/A"
"27.11.2022 02:00 - 27.11.2022 02:30","N/A","N/A"
"27.11.2022 02:30 - 27.11.2022 03:00","N/A","N/A"
"27.11.2022 03:00 - 27.11.2022 03:30","N/A","N/A"
